financial_year,EMPSIZE,mean_tfp,25th_ptile,median_tfp,75th_ptile
2015,Small,4.711,0.554,3.014,5.133
2015,Medium,4.23,-0.746,2.016,4.422
2015,Large,4.832,-0.436,2.247,5.079
2016,Small,4.742,0.636,2.991,5.111
2016,Medium,4.814,-0.581,2.095,4.734
2016,Large,4.69,-0.463,2.228,4.96
2017,Small,4.763,0.634,3.015,5.044
2017,Medium,4.584,-0.606,2.044,4.676
2017,Large,4.689,-0.455,2.264,5.077
2018,Small,4.578,0.629,3.027,4.959
2018,Medium,4.418,-0.645,2.024,4.433
2018,Large,4.675,-0.44,2.289,5.226
2019,Small,4.696,0.742,2.987,4.863
2019,Medium,4.476,-0.536,2.053,4.511
2019,Large,4.606,-0.437,2.267,5.037
2020,Small,4.754,0.728,2.994,4.899
2020,Medium,4.454,-0.53,2.061,4.455
2020,Large,4.696,-0.425,2.285,5.065
2021,Small,4.776,0.735,3.01,4.933
2021,Medium,4.469,-0.517,2.054,4.423
2021,Large,4.862,-0.396,2.329,5.065
2022,Small,4.808,0.742,3.083,5.07
2022,Medium,4.498,-0.536,2.054,4.49
2022,Large,4.853,-0.396,2.283,5.155
